source,target
Binx - tools for storytelling,Jer - everyday experience
Binx - tools for storytelling,Jer - active not interactive
Binx - tools for storytelling,Julia - what is it doing to us
Binx - tools for storytelling,Julia - work in context
Binx - Mesh-U business,Nervous_Jessica - Design process
Binx - maps,Golan - listening post
Binx - maps,Golan - open data
Binx - maps,Jer - Pattern
Binx - maps,Jer - Thought it was boring
Binx - maps,Karsten - database
Binx - meaningful shape1,Golan - listening post
Binx - meaningful shape1,Golan - open data
Binx - meaningful shape1,Jer - Pattern
Binx - meaningful shape1,Jer - Thought it was boring
Binx - meaningful shape1,Karsten - database
Binx - meaningful shape1,Jer - open paths
Binx - making a map,Golan - listening post
Binx - making a map,Golan - open data
Binx - making a map,Jer - Pattern
Binx - making a map,Jer - Thought it was boring
Binx - making a map,Karsten - database
Binx - face data,Karsten - infinite conversation
Binx - face data,Maeda - Clouds
Binx - hackathon,Casey - Sketching with code
Binx - hackathon,Golan - make a mark
Binx - hackathon,Golan - hackathon
Binx - hackathon,Golan - hackathons2
Binx - hackathon,JTNimoy - thinking by doing
Binx - hackathon,JTNimoy - 100 artists versus One
Binx - hackathon,JTNimoy - one of us
Binx - hackathon,Marius - these things are in my head
Binx - hackathon,Philip - get an idea
Binx - hackathon,Philip - with programming you can do whatever
Binx - hackathon,Shantell - drawing with the computer
Binx - hackathon,Shantell - drawing with computers
Binx - hackathon,Shantell - doingwithothers
Binx - hackathon,Shiffman - There's an element of surprise
Binx - hackathon,Shiffman - offers me a way to think
Binx - hackathon,Zach - drawing with Tayoon
Binx - ar&&code,Casey - Sketching with code
Binx - ar&&code,Chris - ethic of sharing
Binx - ar&&code,Golan - make a mark
Binx - ar&&code,Golan - hackathon
Binx - ar&&code,Golan - hackathons2
Binx - ar&&code,JTNimoy - thinking by doing
Binx - ar&&code,JTNimoy - 100 artists versus One
Binx - ar&&code,JTNimoy - one of us
Binx - ar&&code,JTNimoy - enough cooks
Binx - ar&&code,Lindsay - memes 2
Binx - ar&&code,Marius - these things are in my head
Binx - ar&&code,Philip - get an idea
Binx - ar&&code,Philip - with programming you can do whatever
Binx - ar&&code,Shantell - drawing with the computer
Binx - ar&&code,Shantell - drawing with computers
Binx - ar&&code,Shantell - doingwithothers
Binx - ar&&code,Shiffman - There's an element of surprise
Binx - ar&&code,Shiffman - offers me a way to think
Binx - ar&&code,Zach - drawing with Tayoon
Binx - ar&&code,Theo - open frameworks
Binx - programming is a superpower,Diederick - all programmers have that
Binx - programming is a superpower,Philip - with programming you can do whatever
Binx - tech fracturing,Casey - Programming at 26
Binx - tech fracturing,Karsten - why don't we learn?
Binx - tech fracturing,Philip - learn through programming
Binx - tech fracturing,Philip - understanding through physics
Binx - tech fracturing,Shiffman - Maybe I'd like that
Binx - tech fracturing,Shiffman - mysterious box
Binx - tech fracturing,Zach - action script
Binx - tech fracturing,Zach - action script shorter
Binx - skillshare,Casey - Infrastructures should be open
Binx - skillshare,Casey - group teaching
Binx - skillshare,Diederick - open frameworks
Binx - skillshare,Golan - Kyle
Binx - skillshare,Greg - community
Binx - skillshare,Jer - Thanks
Binx - skillshare,Julia - toward greater generosity
Binx - skillshare,Karsten - Paul Burke
Binx - skillshare,Karsten - becoming insular
Binx - skillshare,Kyle_CH - new generation
Binx - skillshare,Lindsay - memes 2
Binx - skillshare,Maeda - Processing community
Binx - skillshare,Marcus - gurus
Binx - skillshare,Paola - sharing
Binx - skillshare,Shiffman - sharing
Binx - skillshare,Zach - at a festival
Binx - skillshare,Zach - printshop
Binx - skillshare,Zach - emailing the communnity
Binx - learning,Casey - Infrastructures should be open
Binx - learning,Casey - group teaching
Binx - learning,Diederick - open frameworks
Binx - learning,Golan - Kyle
Binx - learning,Greg - community
Binx - learning,Jer - Thanks
Binx - learning,Julia - toward greater generosity
Binx - learning,Karsten - Paul Burke
Binx - learning,Karsten - becoming insular
Binx - learning,Kyle_CH - new generation
Binx - learning,Lindsay - memes 2
Binx - learning,Maeda - Processing community
Binx - learning,Marcus - gurus
Binx - learning,Paola - sharing
Binx - learning,Shiffman - sharing
Binx - learning,Zach - at a festival
Binx - learning,Zach - printshop
Binx - learning,Zach - emailing the communnity
Binx - learning with others,Casey - Infrastructures should be open
Binx - learning with others,Casey - group teaching
Binx - learning with others,Diederick - open frameworks
Binx - learning with others,Golan - Kyle
Binx - learning with others,Greg - community
Binx - learning with others,Jer - Thanks
Binx - learning with others,Julia - toward greater generosity
Binx - learning with others,Karsten - Paul Burke
Binx - learning with others,Karsten - becoming insular
Binx - learning with others,Kyle_CH - new generation
Binx - learning with others,Lindsay - memes 2
Binx - learning with others,Maeda - Processing community
Binx - learning with others,Marcus - gurus
Binx - learning with others,Paola - sharing
Binx - learning with others,Shiffman - sharing
Binx - learning with others,Zach - at a festival
Binx - learning with others,Zach - printshop
Binx - learning with others,Zach - emailing the communnity
Binx - learning with others,Jer - Desire to get together
Binx - learning with others,JTNimoy - 100 artists versus One
Binx - big data,Golan - open data
Binx - big data,Greg - the "Like" button cascade
Binx - big data,Jer - Data ownership
Binx - field of data vis,Jer - data visualization
Binx - field of data vis,Jer - failure to communicate
Binx - technoutopian,Aaron - exchange of ideas drives progress
Binx - technoutopian,Greg - A.I.
Binx - technoutopian,Marcus - Epic Games predictions
Binx - technoutopian,Marius - Thoroughly enjoying it at the moment
Binx - technoutopian,Julian - toolkit culture
Binx - changing the world,Aaron - exchange of ideas drives progress
Binx - changing the world,Greg - A.I.
Binx - changing the world,Jer - spoken word
Binx - changing the world,Julia - program or be programmed
Binx - changing the world,Julia - make us more compassionate
Binx - changing the world,Julia - toward greater generosity
Binx - changing the world,Julia - better tools
Binx - changing the world,Julia - power back to users
Binx - changing the world,Karsten - solving complex problems
Binx - changing the world,Marcus - Epic Games predictions
Binx - changing the world,Marius - Thoroughly enjoying it at the moment
Binx - changing the world,Golan - Anxious about the future
Binx - changing the world,Vera - Energy Flow2
Binx - changing the world,Julian - toolkit culture
Binx - art and culture,Jer - spoken word
Binx - art and culture,Julia - program or be programmed
Binx - art and culture,Julia - toward greater generosity
Binx - art and culture,Julia - better tools
Binx - art and culture,Julia - power back to users
Binx - art and culture,Karsten - solving complex problems
Binx - art and culture,Marcus - scaling up
Binx - art and culture,Sophy - distributed culture
Binx - art and culture,Julia - make us more compassionate
Binx - art for money,Zach - less demo
Binx - art for money,Zach - more poetry, less demo
Binx - hybridity,Marcus - gurus
Binx - hybridity,Paola - tranny designers
Binx - hybridity,Golan - hybridity
Binx - hybridity,Golan - hybridity2
Binx - Background,Golan - people like myself
Binx - Background,Golan - finding a community
Binx - Background,Karsten - east german hardware 2
Binx - Background,Marcus - skating to coding
Binx - Background,Marcus - gurus
Binx - Background,Marius - cross discplines
Binx - Background,Paola - the tribe
Binx - Background,Paola - tranny designers
Binx - Background,Theo - learning
Binx - Background,Zach - action script
Binx - there was no degree,Casey - Birth of processing
Binx - there was no degree,Karsten - why don't we learn?
Binx - there was no degree,Marcus - gurus
Binx - there was no degree,Paola - the tribe
Binx - there was no degree,Shiffman - Not a visual thinker
Binx - there was no degree,Shiffman - advanced environment
Binx - there was no degree,Maeda - not a big deal
Binx - there was no degree,Paola - tranny designers
Binx - tools for storytelling2,Jer - everyday experience
Binx - tools for storytelling2,Jer - active not interactive
Binx - tools for storytelling2,Julia - what is it doing to us
Binx - tools for storytelling2,Golan - listening post
Binx - tools for storytelling2,Vera - Accessibility through strories
Binx - work for hire,Regine - making a living
Binx - work for hire,Paola - designer of the future
Casey - beginnings,Golan - 
Casey - beginnings,Golan - MIT
Casey - beginnings,Golan - ACG
Casey - beginnings,Paola - tranny designers
Casey - beginnings,Nervous_Jessica - John Maeda
Casey - Processing, what is it?,Karsten - processing
Casey - Processing, what is it?,Philip - toxi's physics
Casey - Sketching with code,Binx - hackathon
Casey - Sketching with code,Binx - ar&&code
Casey - Sketching with code,JTNimoy - thinking by doing
Casey - Sketching with code,Philip - get an idea
Casey - Sketching with code,Shantell - drawing with the computer
Casey - tangle,JTNimoy - thinking by doing
Casey - tangle,Paola - Thinking by doing
Casey - tangle,Zach - drawing with Tayoon
Casey - tangle,Nervous_Jesse - we like things tidy
Casey - tangle,Marius - code can be messy
Casey - Borrowing from culture,Shantell - drawing with noise
Casey - Systems theory,Karolina - Ocean as metaphor
Casey - Systems theory,Marcus - emergence
Casey - Systems theory,Marcus - Sims
Casey - Systems theory,Marcus - lego bricks
Casey - Systems theory,Casey - emergence
Casey - Systems theory,Shiffman - how far could we get?
Casey - Systems theory,Golan - woah2
Casey - Systems theory,Vera - Digital life forms
Casey - emergence,Marcus - emergence
Casey - emergence,Nervous_Jesse - organic process
Casey - emergence,Nervous_Jesse - reaction lamp
Casey - emergence,Philip - toxi's physics
Casey - emergence,Philip - couldn't do this with actual water
Casey - emergence,Shiffman - nature of code p.2 shorter
Casey - synthetic biology,Nervous_Jesse - Biology is messy
Casey - Craig Venter,Nervous_Jessica - biocomputer
Casey - Craig Venter,Nervous_Jesse - Biology is messy
Casey - Birth of processing,Binx - there was no degree
Casey - Birth of processing,Golan - administrating versus making
Casey - Birth of processing,Jer - Toxi: gurus
Casey - Birth of processing,Karsten - Educational tools
Casey - Birth of processing,Karsten - why don't we learn?
Casey - Birth of processing,Maeda - Design by Numbers
Casey - Birth of processing,Philip - if I had Processing in school
Casey - Birth of processing,Shiffman - Not a visual thinker
Casey - Birth of processing,Shiffman - advanced environment
Casey - Birth of processing,Zach - Open Frameworks 3
Casey - Birth of processing,Jer - Making a tool
Casey - Birth of processing,Shiffman - sharing
Casey - Birth of processing,Shiffman - Open Source Contract
Casey - Birth of processing,Maeda - Processing toolkit
Casey - Birth of processing,Shiffman - Marker 4
Casey - Design by numbers to processing,Shiffman - Not a visual thinker
Casey - Design by numbers to processing,Casey - Birth of processing
Casey - Design by numbers to processing,Maeda - Processing
Casey - Design by numbers to processing,Karsten - Educational tools
Casey - Infrastructures should be open,Binx - skillshare
Casey - Infrastructures should be open,Binx - learning
Casey - Infrastructures should be open,Binx - learning with others
Casey - Infrastructures should be open,Chris - ethic of sharing
Casey - Infrastructures should be open,Diederick - open frameworks
Casey - Infrastructures should be open,Golan - Kyle
Casey - Infrastructures should be open,Golan - closed source mistake
Casey - Infrastructures should be open,Golan - pedagogical impulse
Casey - Infrastructures should be open,Golan - limits to sharing
Casey - Infrastructures should be open,Greg - community
Casey - Infrastructures should be open,Jer - Making a tool
Casey - Infrastructures should be open,Jer - Desire to get together
Casey - Infrastructures should be open,Jer - Thanks
Casey - Infrastructures should be open,Jer - Post-capitalism
Casey - Infrastructures should be open,Jer - post-capitalism2
Casey - Infrastructures should be open,Jer - Toxi: gurus
Casey - Infrastructures should be open,JTNimoy - open source mensch
Casey - Infrastructures should be open,JTNimoy - enough cooks
Casey - Infrastructures should be open,Julia - museum, emotion
Casey - Infrastructures should be open,Julia - open source and ego
Casey - Infrastructures should be open,Julia - can't be solitary
Casey - Infrastructures should be open,Julia - toward greater generosity
Casey - Infrastructures should be open,Julia - open source
Casey - Infrastructures should be open,Julia - need for collaboration
Casey - Infrastructures should be open,Karsten - Educational tools
Casey - Infrastructures should be open,Karsten - becoming insular
Casey - Infrastructures should be open,Kyle_CH - new generation
Casey - Infrastructures should be open,Lindsay - memes 2
Casey - Infrastructures should be open,Maeda - Processing community
Casey - Infrastructures should be open,Marcus - economics question
Casey - Infrastructures should be open,Paola - generosity
Casey - Infrastructures should be open,Paola - sharing
Casey - Infrastructures should be open,Philip - if I had Processing in school
Casey - Infrastructures should be open,Shiffman - sharing
Casey - Infrastructures should be open,Shiffman - Open Source Contract
Casey - Infrastructures should be open,Shiffman - problem solving
Casey - Infrastructures should be open,Zach - at a festival
Casey - Infrastructures should be open,Zach - printshop
Casey - Infrastructures should be open,Zach - decompiling
Casey - Infrastructures should be open,Zach - emailing the communnity
Casey - group teaching,Binx - skillshare
Casey - group teaching,Binx - learning
Casey - group teaching,Binx - learning with others
Casey - group teaching,Diederick - open frameworks
Casey - group teaching,Golan - Kyle
Casey - group teaching,Greg - community
Casey - group teaching,Jer - Thanks
Casey - group teaching,Jer - Toxi: gurus
Casey - group teaching,Julia - toward greater generosity
Casey - group teaching,Karsten - becoming insular
Casey - group teaching,Kyle_CH - new generation
Casey - group teaching,Lindsay - memes 2
Casey - group teaching,Maeda - Processing community
Casey - group teaching,Paola - sharing
Casey - group teaching,Shiffman - sharing
Casey - group teaching,Zach - at a festival
Casey - group teaching,Zach - printshop
Casey - group teaching,Zach - emailing the communnity
Casey - People would pop up,Marcus - new tricks
Casey - People would pop up,JTNimoy - one of us
Casey - Style diffuses,Marcus - visual culture evoling
Casey - Style diffuses,Marcus - new tricks
Casey - Style diffuses,JTNimoy - originality
Casey - Style diffuses,Marcus - community styles
Casey - Style diffuses,Aaron - exchange of ideas drives progress
Casey - Style diffuses,Aaron - recombination
Casey - Style diffuses,Lindsay - collective creativity
Casey - Casey,Shantell - luck
Casey - Casey,Shantell - Sharing creates luck
Casey - branching off branching,JTNimoy - thinking by doing
Casey - branching off branching,Maeda - last trick
Casey - branching off branching,Shantell - take the line further
Casey - branching off branching,Sophy - everyday media
Casey - branching off branching,Golan - make a mark
Casey - Ideally it goes beyond my imagination,JTNimoy - thinking by doing
Casey - Ideally it goes beyond my imagination,Maeda - last trick
Casey - Ideally it goes beyond my imagination,Shantell - take the line further
Casey - Tree of Life,Marcus - code for storytelling
Casey - Tree of Life,Karolina - interactive tableau
Casey - Tree of Life,Jer - ambiguous narrative
Casey - It's not cinema not a game,Karolina - Journey
Casey - It's not cinema not a game,Shiffman - Games
Casey - It's not cinema not a game,Marcus - Sims
Casey - It's not cinema not a game,Vera - Energy Flow1
Casey - It's not cinema not a game,Sophy - nonlinearity
Casey - It's not cinema not a game,Marcus - energy flow
Casey - It's not cinema not a game,Marcus - code for storytelling
Casey - It's not cinema not a game,Marcus - simulation to stories
Casey - Programming at 26,Binx - tech fracturing
Casey - Programming at 26,Golan - MIT
Casey - Programming at 26,Golan - ACG
Casey - Programming at 26,Golan - people at MIT
Casey - Programming at 26,Golan - ACG3
Casey - Programming at 26,Golan - pedagogical impulse
Casey - Programming at 26,Maeda - Aesthetics and Computation group
Casey - Programming at 26,Nervous_Jessica - John Maeda
Casey - Programming at 26,Philip - learn through programming
Casey - Programming at 26,Philip - understanding through physics
Casey - Programming at 26,Shiffman - Maybe I'd like that
Casey - Programming at 26,Shiffman - mysterious box
Casey - Programming at 26,Zach - action script
Casey - Programming at 26,Zach - action script shorter
Casey - Computer as collaborator,Karolina - Ocean as metaphor
Casey - Computer as collaborator,Marcus - emergence
Casey - Computer as collaborator,Marcus - Sims
Casey - Computer as collaborator,Marcus - lego bricks
Casey - Computer as collaborator,Vera - Playing with a system
Casey - What is emergence?,Jer - Pattern
Casey - What is emergence?,Marcus - emergence
Casey - What is emergence?,Marcus - Sims
Casey - What is emergence?,Marcus - energy flow_riot
Casey - What is emergence?,Marcus - lego bricks
Casey - What is emergence?,Nervous_Jessica - biocomputer
Casey - What is emergence?,Shiffman - nature of code p.2 shorter
Casey - What is emergence?,Vera - Digital life forms
Casey - What is emergence?,Theo - magic
Casey - What is emergence?,Shiffman - Games
Casey - What is emergence?,Nervous_Jessica - Marker 7
Casey - What is emergence?,Jer - fireflies
Casey - What is emergence?,Karolina - stasis
Casey - Developing a microworld,Marcus - simulation to stories
Casey - Developing a microworld,Philip - programming the river
Casey - Developing a microworld,Philip - toxi's physics
Casey - Developing a microworld,Philip - couldn't do this with actual water
Casey - Developing a microworld,Shiffman - Marker 8
Casey - Developing a microworld,Shiffman - Nature of code p. 2
Casey - Developing a microworld,Shiffman - building a universe
Casey - Developing a microworld,Shiffman - programming the universe
Casey - Developing a microworld,Shiffman - how far could we get?
Casey - Developing a microworld,Shiffman - Constraints,
Casey - Developing a microworld,Shiffman - Nature of Code
Casey - Developing a microworld,Shiffman - nature of code p.2 shorter
Casey - Developing a microworld,Theo - magic
Casey - Developing a microworld,Philip - build the whole universe
Casey - You need noise,Marcus - energy flow_riot
Casey - You need noise,Marius - gardening
Casey - You need noise,Shiffman - Games
Casey - You need noise,Shiffman - mutation
Casey - You need noise,Shiffman - nature of code p.2 shorter
Chris - remote collaboration,Aaron - exquisite forest
Chris - remote collaboration,Golan - hackathons2
Chris - remote collaboration,JTNimoy - enough cooks
Chris - ethic of sharing,Aaron - exquisite forest
Chris - ethic of sharing,Binx - ar&&code
Chris - ethic of sharing,Casey - Infrastructures should be open
Chris - ethic of sharing,Golan - Kyle
Chris - ethic of sharing,Golan - closed source mistake
Chris - ethic of sharing,Golan - limits to sharing
Chris - ethic of sharing,Golan - hackathons2
Chris - ethic of sharing,Jer - Making a tool
Chris - ethic of sharing,Jer - Post-capitalism
Chris - ethic of sharing,Jer - post-capitalism2
Chris - ethic of sharing,JTNimoy - enough cooks
Chris - ethic of sharing,Julia - open source and ego
Chris - ethic of sharing,Julia - can't be solitary
Chris - ethic of sharing,Julia - open source
Chris - ethic of sharing,Julia - need for collaboration
Chris - ethic of sharing,Karsten - becoming insular
Chris - ethic of sharing,Lindsay - memes 2
Chris - ethic of sharing,Maeda - Processing community
Chris - ethic of sharing,Marcus - economics question
Chris - ethic of sharing,Paola - generosity
Chris - ethic of sharing,Shiffman - sharing
Chris - ethic of sharing,Shiffman - Open Source Contract
Chris - ethic of sharing,Zach - printshop
Chris - ethic of sharing,Zach - decompiling
Chris - interfaces,Julian - ideology of seamlessness
Chris - interfaces,Maeda - thinking about interfaces
Chris - Eyewriter,Kyle_MC - Eyewriter
Chris - Eyewriter,Jer - Eyewriter touchstone
Chris - not a gadget-person,Kyle_MC - devices
Diederick - painting like coding,Golan - my mother the abstract painter
Diederick - painting like coding,Golan - make a mark
Diederick - painting like coding,Shantell - take the line further
Diederick - painting like coding,Zach - hide the tech
Diederick - programming with feeling,Golan - my mother the abstract painter
Diederick - programming with feeling,Golan - piano and pencil,
Diederick - programming with feeling,Golan - twitching in a room
Diederick - programming with feeling,Shantell - Coding: what does it feel like?
Diederick - programming with feeling,Shantell - Coding gesturally
Diederick - programming with feeling,Zach - hide the tech
Diederick - don't like that kind of interaction,Theo - hide the technology,
Diederick - all programmers have that,Binx - programming is a superpower
Diederick - all programmers have that,Philip - with programming you can do whatever
Diederick - all programmers have that,Zach - action script
Diederick - all programmers have that,Zach - action script shorter
Diederick - open frameworks,Binx - skillshare
Diederick - open frameworks,Binx - learning
Diederick - open frameworks,Binx - learning with others
Diederick - open frameworks,Casey - Infrastructures should be open
Diederick - open frameworks,Casey - group teaching
Diederick - open frameworks,Golan - Kyle
Diederick - open frameworks,Greg - community
Diederick - open frameworks,Jer - Thanks
Diederick - open frameworks,Julia - community
Diederick - open frameworks,Julia - toward greater generosity
Diederick - open frameworks,Karsten - becoming insular
Diederick - open frameworks,Kyle_CH - new generation
Diederick - open frameworks,Lindsay - memes 2
Diederick - open frameworks,Maeda - Processing community
Diederick - open frameworks,Paola - sharing
Diederick - open frameworks,Shiffman - sharing
Diederick - open frameworks,Zach - printshop
Diederick - open frameworks,Zach - emailing the communnity
Diederick - open frameworks,Zach - at a festival
Diederick - world will become better,Karsten - becoming insular
Diederick - world will become better,Zach - at a festival
Diederick - world will become better,Zach - emailing the communnity
Diederick - hackathon,Zach - action script
Diederick - hackathon,Zach - action script shorter
Elliot - Wiremap,Elliot_UK - wiremape_description
Elliot - Wiremap,Elliot_UK - lightscape
Elliot - Wiremap,Zach - action script
Elliot - kinect,Elliot_UK - limitations 2
Elliot - kinect,Kyle_CH - RGBD
Elliot - kinect,Kyle_MC - vision, cameras
Elliot - kinect,Kyle_MC - kinect 2
Elliot_UK - wiremape_description,Elliot - Wiremap
Elliot_UK - wiremape_description,Theo - funky forest
Elliot_UK - lightscape,Elliot - Wiremap
Elliot_UK - lightscape,Kyle_CH - RMB city
Elliot_UK - lightscape,Shiffman - reality will only get you so far
Elliot_UK - lightscape,Theo - funky forest
Elliot_UK - points in space,Marius - 3D printing
Elliot_UK - tree sculpture,Sophy - Evolution
Elliot_UK - tree sculpture,Theo - evolution
Elliot_UK - tree sculpture,Theo - inspired by nature
Elliot_UK - limitation 1,Nervous_Jesse - understanding to control 3
Elliot_UK - limitations 2,Elliot - kinect
Elliot_UK - limitations 2,Kyle_MC - kinect 2
Elliot_UK - limitations 2,Nervous_Jesse - understanding to control 3
Elliot_UK - 2D vision in a 3D world,Philip - understanding through physics
Elliot_UK - 2D vision in a 3D world,Philip - image is in your brain
Elliot_UK - 2D vision in a 3D world,Sophy - made of photons
Elliot_UK - Ideaspace,Julia - net friends
Elliot_UK - Ideaspace,Lindsay - memes 2
Elliot_UK - Ideaspace,Aaron - exchange of ideas drives progress
