source,target
Aaron - global interactions,Fernanda - had to explain that the web was social
Aaron - global interactions,Fernanda - What people are thinking
Aaron - global interactions,Kyle_CH - coral reefs
Aaron - global interactions,Lauren - Social reality circa 2013
Aaron - global interactions,Lauren - how we communicate
Aaron - global interactions,Lauren - how we communicate, shorter
Aaron - global interactions,Lauren - breaking down barriers
Aaron - global interactions,Martin - ubiquitous connectivity
Aaron - global interactions,Martin - spread ideas
Aaron - different ways of communicating,Bruce - Textual technologies
Aaron - different ways of communicating,Fernanda - What people are thinking
Aaron - different ways of communicating,Lauren - Social reality circa 2013
Aaron - different ways of communicating,Lauren - how we communicate
Aaron - different ways of communicating,Lauren - how we communicate, shorter
Aaron - different ways of communicating,Lauren - breaking down barriers
Aaron - different ways of communicating,Lindsay - meeting IRL
Aaron - different ways of communicating,Martin - ubiquitous connectivity
Aaron - different ways of communicating,Martin - spread ideas
Aaron - different ways of communicating,Sophy - the Cloud
Aaron - dreaming together,Bruce - Everted Cyberspace
Aaron - dreaming together,Bruce - relating to history through networks
Aaron - dreaming together,Bruce - creative agglomeration short
Aaron - dreaming together,Julia - feeling of kinship
Aaron - dreaming together,Kevin - Networked intelligence
Aaron - dreaming together,Kevin - Getting smarter together
Aaron - dreaming together,Lauren - toward greater consciousness
Aaron - dreaming together,Marius - Predicting the internet
Aaron - dreaming together,Martin - what the world is thinking
Aaron - dreaming together,Martin - Are we getting smarter?
Aaron - dreaming together,Martin - Are we getting smarter 2
Aaron - dreaming together,Patricio - Network perception
Aaron - dreaming together,Philip - in touch all the time
Aaron - dreaming together,Sophy - nanobots
Aaron - dreaming together,LIA - NeedTheInternet
Aaron - dreaming together,Golan - Network1
Aaron - dreaming together,Golan - Network2
Aaron - exchange of ideas drives progress,Binx - technoutopian
Aaron - exchange of ideas drives progress,Bruce - Future art
Aaron - exchange of ideas drives progress,Julian - toolkit culture
Aaron - exchange of ideas drives progress,Karsten - illusion of original thought
Aaron - exchange of ideas drives progress,Sophy - distributed culture
Aaron - autonomous storytellers,Casey - Something new, totally engrossing
Aaron - autonomous storytellers,Kevin - Acknolwedgement of artifice
Aaron - autonomous storytellers,Kevin - algo stories 1
Aaron - autonomous storytellers,Kevin - algo stories 2
Aaron - autonomous storytellers,Kyle_CH - storytelling
Aaron - autonomous storytellers,Marcus - energy flow
Aaron - autonomous storytellers,Marcus - audience
Aaron - autonomous storytellers,Marcus - code for storytelling
Aaron - autonomous storytellers,Vera - Energy Flow1
Aaron - autonomous storytellers,Vera - Energy Flow2
Aaron - autonomous storytellers,Vera - having a protagonist
Aaron - autonomous storytellers,Vera - Accessibility through strories
Aaron - Mini-Artificial Intelligences,Bruce - Anthropomorphism
Aaron - Mini-Artificial Intelligences,Bruce - beauty of code 1
Aaron - Mini-Artificial Intelligences,Bruce - beauty of code 2
Aaron - Mini-Artificial Intelligences,Bruce - beauty of code 3
Aaron - Mini-Artificial Intelligences,Bruce - machines don't think 1
Aaron - Mini-Artificial Intelligences,Bruce - machines don't think 2
Aaron - Mini-Artificial Intelligences,Bruce - Hi I'm conscious
Aaron - Mini-Artificial Intelligences,Bruce - networks vs robots
Aaron - Mini-Artificial Intelligences,Greg - human augmentation
Aaron - Mini-Artificial Intelligences,JTNimoy - be a robot
Aaron - Mini-Artificial Intelligences,Kevin - printing code
Aaron - Mini-Artificial Intelligences,Kevin - algo culture 1
Aaron - Mini-Artificial Intelligences,Kevin - autonomous machines crash
Aaron - Mini-Artificial Intelligences,Kevin - algo chess 1
Aaron - Mini-Artificial Intelligences,Kevin - cognition vs computation 1
Aaron - Mini-Artificial Intelligences,Kevin - algo culture 4
Aaron - Mini-Artificial Intelligences,Kyle_CH - Modeling consciousness
Aaron - Mini-Artificial Intelligences,Kyle_CH - modeling consciousness 2
Aaron - Mini-Artificial Intelligences,Marcus - global conversation
Aaron - Mini-Artificial Intelligences,Marcus - modeling consciousness
Aaron - Mini-Artificial Intelligences,Martin - limits of computation
Aaron - Mini-Artificial Intelligences,Ramsey - independent of any human
Aaron - Mini-Artificial Intelligences,Ramsey - a hundred million
Aaron - Mini-Artificial Intelligences,Intro - Computers
Aaron - Mini-Artificial Intelligences,Joel - Bicycles1
Aaron - Mini-Artificial Intelligences,Golan - MachineIntelligence
Aaron - Tailored Stories,Kevin - algo stories 3
Aaron - Tailored Stories,Kevin - cognition vs computation 1
Aaron - Tailored Stories,Kyle_CH - Cloud atlas
Aaron - Crowdsourcing,JTNimoy - 100 artists versus One
Aaron - Crowdsourcing,JTNimoy - one of us
Aaron - sheep market 2,Jer - Software1
Aaron - sheep market 2,Jer - Software2
Aaron - sheep market 2,Jer - Post-capitalism
Aaron - sheep market 2,Jer - post-capitalism2
Aaron - sheep market 2,Marcus - economics question
Aaron - networked creativity,Bruce - creative agglomeration
Aaron - networked creativity,Bruce - Wikipedia and Github
Aaron - networked creativity,Bruce - Github Tarball
Aaron - networked creativity,Bruce - networks vs robots
Aaron - networked creativity,Bruce - relating to history through networks
Aaron - networked creativity,Bruce - creative agglomeration short
Aaron - networked creativity,Fernanda - History flow 3
Aaron - networked creativity,Julian - mixing code
Aaron - networked creativity,Kevin - Networked intelligence
Aaron - networked creativity,Kevin - Getting smarter together
Aaron - networked creativity,Martin - what the world is thinking
Aaron - networked creativity,Martin - Are we getting smarter?
Aaron - networked creativity,Martin - Are we getting smarter 2
Aaron - networked creativity,Regine - twitter, future
Aaron - data experience,Casey - It's not cinema not a game
Aaron - data experience,Casey - Something new, totally engrossing
Aaron - data experience,Jer - lives being documented through data
Aaron - data experience,Kyle_CH - Future life storage
Aaron - data storytelling,Golan - listening post
Aaron - data storytelling,Jen - data viz challenges
Aaron - data storytelling,Jen - pull out the stories
Aaron - data storytelling,Jen - telling stories to engage
Aaron - data storytelling,Jer - Thought it was boring
Aaron - data storytelling,Kevin - algo stories 2
Aaron - data storytelling,Kevin - algo stories 3
Aaron - webGL,Kevin - game designers
Aaron - webGL,Kevin - Big games 1
Aaron - webGL,Kevin - non-mimetic reality
Aaron - webGL,Kyle_CH - Avatars
Aaron - webGL,Kyle_CH - virtual and identity
Aaron - webGL,Regine - virtual
Aaron - lego creatures,Kevin - non-mimetic reality
Aaron - lego creatures,Kyle_CH - videogame world
Aaron - lego creatures,Patricio - Play 1
Aaron - lego creatures,Patricio - Dream of eggs
Aaron - lego creatures,Ramsey - minecraft 1
Aaron - sharing,Casey - Processing open
Aaron - sharing,Golan - closed source mistake
Aaron - sharing,Golan - limits to sharing
Aaron - sharing,Higa - not sharing its a backup
Aaron - sharing,Higa - 
Aaron - sharing,Higa - sharing accidently 1
Aaron - sharing,Higa - sharing accidently 2
Aaron - sharing,Jer - Making a tool
Aaron - sharing,Jer - Post-capitalism
Aaron - sharing,Jer - post-capitalism2
Aaron - sharing,Julia - open source and ego
Aaron - sharing,Julia - can't be solitary
Aaron - sharing,Karsten - becoming insular
Aaron - sharing,Maeda - Processing community
Aaron - sharing,Paola - generosity
Aaron - sharing,Shiffman - sharing
Aaron - sharing,Shiffman - Open Source Contract
Aaron - sharing,Zach - decompiling
Aaron - sharing,Zach - Open Frameworks 1
Aaron - sharing,Chris - EthicOfSharing
Aaron - sharing,Diederick - worldwillbecomebetter
Aaron - sharing,LIA - Sandcastles
Aaron - sharing,LIA - SkepticismAboutOpenSource
Aaron - exquisite forest,Casey - Something new, totally engrossing
Aaron - exquisite forest,Golan - hackathons2
Aaron - exquisite forest,Higa - sharing accidently 1
Aaron - exquisite forest,Higa - sharing accidently 2
Aaron - exquisite forest,JTNimoy - 100 artists versus One
Aaron - exquisite forest,JTNimoy - one of us
Aaron - exquisite forest,Julian - mixing code
Aaron - exquisite forest,Karolina - Journey
Aaron - exquisite forest,Kevin - Networked intelligence
Aaron - exquisite forest,Kevin - Acknolwedgement of artifice
Aaron - exquisite forest,Kevin - algo stories 1
Aaron - exquisite forest,Kevin - algo stories 2
Aaron - exquisite forest,Kyle_CH - storytelling
Aaron - exquisite forest,Marcus - code for storytelling
Aaron - exquisite forest,Paola - code ant farm
Aaron - exquisite forest,Vera - Energy Flow1
Aaron - exquisite forest,Vera - Energy Flow2
Aaron - exquisite forest,Vera - having a protagonist
Aaron - exquisite forest,Vera - Accessibility through strories
Aaron - infinity,Fernanda - live data
Aaron - infinity,Javier - Julian Oliver
Aaron - infinity,Jen - facebook data
Aaron - infinity,Kevin - reality in the eyes of data
Aaron - exquisite forest 2,Karolina - Journey
Aaron - exquisite forest 2,Kevin - Area code 2
Aaron - code, story, communication,Jen - data viz challenges
Aaron - code, story, communication,Jen - data essay 1
Aaron - code, story, communication,Kevin - storytelling human to human
Aaron - code, story, communication,Zach - Time slows down
Aaron - experience design,Kevin - game designers
Aaron - experience design,Kevin - algo culture 3
Aaron - experience design,Kevin - Tools of perception
Aaron - experience design,Lauren - altering reality of users
Aaron - the best games are great stories,Casey - radically different from a videogame
Aaron - the best games are great stories,Casey - Something new, totally engrossing
Aaron - the best games are great stories,Kevin - Area code 2
Aaron - the best games are great stories,Kevin - Acknolwedgement of artifice
Aaron - individualization + emotion,Fernanda - Sentiment analysis
Aaron - individualization + emotion,Golan - emotion
Aaron - individualization + emotion,Julia - human in tech
Aaron - individualization + emotion,Julia - how it makes me feel
Aaron - individualization + emotion,Julia - emotional
Aaron - individualization + emotion,Kevin - algo culture 3
Aaron - individualization + emotion,Kevin - Tools of perception
Aaron - individualization + emotion,Lauren - altering reality of users
Aaron - individualization + emotion,LIA - HopePeopleCanEnjoyMyArt
Aaron - progress,Bruce - Digital humanities technology
Aaron - progress,Bruce - Future art
Aaron - progress,Bruce - A sappy Singularity
Aaron - progress,Julian - science fiction
Aaron - progress,Regine - imagining the future
Aaron - progress,Shantell - group improvisation
Aaron - progress,Sophy - nanobots
Aaron - digital trace,Binx - trips
Aaron - digital trace,Binx - meaningful shape1
Aaron - digital trace,Bruce - twitter is not your friend
Aaron - digital trace,Bruce - networks vs robots
Aaron - digital trace,Fernanda - Personal data
Aaron - digital trace,Fernanda - email storytelling
Aaron - digital trace,Fernanda - quantified self
Aaron - digital trace,Fernanda - live data
Aaron - digital trace,Greg - the "Like" button cascade
Aaron - digital trace,Javier - Julian Oliver
Aaron - digital trace,Jen - facebook data
Aaron - digital trace,Jen - personal archive 1
Aaron - digital trace,Jen - keeping pictures
Aaron - digital trace,Jen - Personal archive 2
Aaron - digital trace,Jen - data autobiography
Aaron - digital trace,Jen - life chapters
Aaron - digital trace,Jen - twitter friends
Aaron - digital trace,Jer - lives being documented through data
Aaron - digital trace,Jer - Thought it was boring
Aaron - digital trace,Jer - storage
Aaron - digital trace,JTNimoy - data loss
Aaron - digital trace,Julia - Who owns the internet?
Aaron - digital trace,Kyle_CH - Social media performance
Aaron - digital trace,Kyle_CH - old server farms
Aaron - digital trace,Kyle_CH - Future life storage
Aaron - digital trace,Kyle_CH - Twitter archive
Aaron - digital trace,Kyle_MC - Keytweeter 1
Aaron - digital trace,Kyle_MC - Keytweeter 2
Aaron - digital trace,Lauren - identity and interaction
Aaron - digital trace,Lauren - computer self 1
Aaron - digital trace,Lauren - computer self 2
Aaron - digital trace,Lauren - data ownership 2
Aaron - digital trace,Lauren - digital afterlife
Aaron - digital trace,Lindsay - online identity
Aaron - collaboration,Bruce - creative agglomeration
Aaron - collaboration,Bruce - Wikipedia and Github
Aaron - collaboration,Bruce - Github Tarball
Aaron - collaboration,Bruce - networks vs robots
Aaron - collaboration,Bruce - relating to history through networks
Aaron - collaboration,Bruce - creative agglomeration short
Aaron - collaboration,Fernanda - History flow 1
Aaron - collaboration,Fernanda - History flow 3
Aaron - collaboration,Fernanda - History flow 4
Aaron - collaboration,Julian - mixing code
Aaron - collaboration,Kevin - Networked intelligence
Aaron - collaboration,Kevin - Getting smarter together
Aaron - collaboration,Martin - Are we getting smarter?
Aaron - collaboration,Martin - Are we getting smarter 2
Aaron - collaboration,Regine - twitter, future
Aaron - curiosity,Bruce - aborted projects
Aaron - curiosity,Bruce - digital status quo
Aaron - curiosity,Bruce - New media Wow
Aaron - curiosity,Bruce - hamster herding
Aaron - curiosity,Julian - toolkit culture
Aaron - curiosity,Marius - Living in a state of newness since age 10
Aaron - curiosity,Marius - Thoroughly enjoying it at the moment
Aaron - curiosity,Philip - young medium
Aaron - curiosity,Theo - newness
Aaron - recombination,Bruce - orange
Aaron - recombination,Casey - Style diffuses
Aaron - recombination,Elliot_UK - Laying claim on ideas
Aaron - recombination,JTNimoy - originality
Aaron - recombination,Julia - new and interesting
Aaron - recombination,Julian - toolkit culture
Aaron - recombination,Karsten - illusion of original thought
Aaron - recombination,Lindsay - collective creativity
Aaron - recombination,Lindsay - memes 2
Andres - protein folding 1,Kevin - computation was invented
Andres - protein folding 1,Nervous_Jessica - RNA and Viruses
Andres - protein folding 1,Nervous_Jessica - Biology
Andres - protein folding 1,Nervous_Jessica - Science papers
Andres - protein folding 1,Ramsey - DNA and code
Andres - protein folding 1,Ramsey - Alan Kay biocomputing
Andres - protein folding 1,Ramsey - biology and the internet
Andres - protein folding 1,Shiffman - mutation
Andres - protein folding 1,Shiffman - genetics short 2
Andres - protein folding 2,Kevin - computation was invented
Andres - protein folding 2,Nervous_Jessica - Science papers
Andres - protein folding 2,Ramsey - DNA and code
Andres - protein folding 2,Ramsey - Alan Kay biocomputing
Andres - protein folding 2,Ramsey - biology and the internet
Andres - protein folding 2,Shiffman - mutation
Andres - protein folding 2,Shiffman - genetics short 2
Andres - examples of the impossible,Binx - learning with others
Andres - examples of the impossible,Casey - group teaching
Andres - examples of the impossible,Higa - not sharing its a backup
Andres - examples of the impossible,Higa - sharing accidently 1
Andres - examples of the impossible,Higa - sharing accidently 2
Andres - examples of the impossible,Maeda - sharing for collective advancement
Andres - examples of the impossible,Patricio - CopyPaste
Andres - examples of the impossible,Patricio - Learning through others
Andres - examples of the impossible,Shiffman - advanced environment
Andres - examples of the impossible,Zach - processing, publishing
Andres - examples of the impossible,LIA - HandCopyingCode
Andres - sharing code,Golan - limits to sharing
Andres - sharing code,Higa - not sharing its a backup
Andres - sharing code,Higa - sharing accidently 1
Andres - sharing code,Higa - sharing accidently 2
Andres - sharing code,Jer - Making a tool
Andres - sharing code,Julia - can't be solitary
Andres - sharing code,Lauren - using tools in unexpected ways
Andres - sharing code,Maeda - sharing for collective advancement
Andres - sharing code,Zach - printshop
Andres - Reaching higher,Fernanda - History flow 1
Andres - Reaching higher,Higa - sharing accidently 1
Andres - Reaching higher,Higa - sharing accidently 2
Andres - Reaching higher,JTNimoy - enough cooks
Andres - Reaching higher,Kyle_CH - new generation
Andres - Reaching higher,Patricio - Jam session
Andres - Reaching higher,Intro - Collaboration
Andres - DNA computing 1,Casey - Craig Venter
Andres - DNA computing 1,Kevin - Biological computation 1
Andres - DNA computing 1,Kevin - computation was invented
Andres - DNA computing 1,Nervous_Jesse - Biology is messy
Andres - DNA computing 1,Nervous_Jessica - biocomputer
Andres - DNA computing 1,Ramsey - DNA and code
Andres - DNA computing 1,Ramsey - Alan Kay biocomputing
Andres - DNA computing 1,Ramsey - biology and the internet
Andres - DNA computing 1,Ramsey - resilient internet
Andres - DNA computing 1,Shiffman - genetics short 2
Andres - DNA computing 1,Shiffman - genetic algos 1
Andres - DNA computing 1,Shiffman - genetic algos 2
Andres - DNA computing 2,Casey - Craig Venter
Andres - DNA computing 2,Kevin - Biological computation 1
Andres - DNA computing 2,Kevin - computation was invented
Andres - DNA computing 2,Nervous_Jessica - biocomputer
Andres - DNA computing 2,Ramsey - biology and the internet
Andres - DNA computing 2,Ramsey - resilient internet
Andres - DNA computing 2,Shiffman - genetics short 2
Andres - DNA computing 2,Shiffman - genetic algos 1
Andres - DNA computing 2,Shiffman - genetic algos 2
Andres - probability,Casey - randomness
Andres - probability,Shiffman - gambling 2
Andres - fuzzy systems,Casey - randomness
Andres - fuzzy systems,Casey - You need noise
Andres - fuzzy systems,Jen - Math shapes the world
Andres - fuzzy systems,Karolina - Everything
Andres - fuzzy systems,Nervous_Jesse - Biology is messy
Andres - fuzzy systems,Nervous_Jessica - biocomputer
Andres - fuzzy systems,Patricio - Discovering Mathematical Reality
Andres - fuzzy systems,Ramsey - elegant system
Andres - soft systems 1,Casey - Systems theory
Andres - soft systems 1,Higa - collaboration with machines 1
Andres - soft systems 1,Higa - collaboration with machines 2
Andres - soft systems 1,Marcus - Sims
Andres - soft systems 1,Nervous_Jesse - organic process
Andres - soft systems 1,Ramsey - emergence from simple rules
Andres - soft systems 1,Ramsey - elegant system
Andres - soft systems 1,Vera - Playing with a system
Andres - soft systems 2,Casey - Scale 1
Andres - soft systems 2,Fernanda - seeing patterns 1
Andres - soft systems 2,Fernanda - zooming in
Andres - soft systems 2,Jer - Pattern
Andres - soft systems 2,Joel - scale of universe
Andres - soft systems 2,Karolina - Ocean as metaphor
Andres - soft systems 2,Martin - birds eye view
Andres - soft systems 2,Martin - Zooming is critical
Andres - soft systems 2,Martin - spiral interface
Andres - soft systems 2,Joel - scaleofUniverse
Andres - soft systems 2,LIA - PatternsIntheBrain
Andres - soft systems 2,LIA - VisualizeAnIdea
Andres - modeling complex systems,Fernanda - seeing patterns 1
Andres - modeling complex systems,Fernanda - seeing patterns 2
Andres - modeling complex systems,Fernanda - Wind visualization 2
Andres - modeling complex systems,Jer - data visualization
Andres - modeling complex systems,Jer - Good at understanding complexity
Andres - modeling complex systems,Maeda - simplicity and complexity
Andres - modeling complex systems,Martin - data revleation
Andres - modeling complex systems,Martin - Zooming is critical
Andres - modeling complex systems,Martin - Seeing the whole 1
Andres - modeling complex systems,Patricio - Discovering Mathematical Reality
Andres - modeling complex systems,Ramsey - emergence from simple rules
Andres - modeling complex systems,Shiffman - how far could we get?
Andres - modeling complex systems,LIA - MathAnotherLanguage
Andres - modeling complex systems,LIA - PatternsIntheBrain
Andres - modeling complex systems,LIA - VisualizeAnIdea
Andres - an overly complex model,Binx - frustrated about visualization
Andres - an overly complex model,Fernanda - social network hairballs
Andres - an overly complex model,Jer - Pattern
Andres - an overly complex model,Jer - people don't read these things
Andres - an overly complex model,Jer - take advantage of this thing we can do
Andres - an overly complex model,Jer - reading the complexity
Andres - an overly complex model,Philip - limitations
Andres - an overly complex model,Ramsey - elegant system
Andres - an overly complex model,LIA - LTree
Andres - modeling the human being,Casey - emergence
Andres - modeling the human being,Higa - collaboration with machines 1
Andres - modeling the human being,Higa - collaboration with machines 2
Andres - modeling the human being,Karolina - system metaphor
Andres - modeling the human being,Kevin - computation was invented
Andres - modeling the human being,Kevin - computation is unnatural
Andres - modeling the human being,Kevin - cognition vs computation 1
Andres - modeling the human being,Kyle_CH - nature is complex
Andres - modeling the human being,Nervous_Jessica - Science papers
Andres - modeling the human being,Nervous_Jessica - biocomputer
Andres - modeling the human being,Patricio - Discovering Mathematical Reality
Andres - modeling the human being,Philip - limitations
Andres - modeling the human being,Shiffman - NOC 3
Andres - modeling the human being,Shiffman - how far could we get?
Andres - modeling the human being,Shiffman - Constraints,
Andres - modeling the human being,Theo - evolution
Andres - modeling the human being,LIA - LTree
Andres - modeling the human being,LIA - VisualizeAnIdea
Andres - Less beautiful than it could be,Fernanda - beautiful evidence 1
Andres - Less beautiful than it could be,Fernanda - aesthetics as communication
Andres - correct is beautiful,Bruce - beauty of math
Andres - correct is beautiful,Fernanda - beautiful evidence 1
Andres - correct is beautiful,Fernanda - aesthetics as communication
Andres - seeing molecules,Casey - Developing a microworld
Andres - seeing molecules,Shiffman - NOC 1
Andres - Computational lens,Greg - camera getting cheaper
Andres - Computational lens,Greg - camera scaling up
Andres - Computational lens,Greg - cameras scaling up
Andres - Computational lens,Jen - Lidar 1
Andres - Computational lens,Elliot - Kinect
Andres - camera distorts reality,Elliot_UK - 2D vision in a 3D world
Andres - camera distorts reality,Jen - Math simulating reality
Andres - camera distorts reality,Kevin - human perception
Andres - camera distorts reality,Paola - bach mozart coders
Andres - camera distorts reality,Patricio - Discovering Mathematical Reality
Andres - camera distorts reality,Philip - understanding through physics
Andres - camera distorts reality,Sophy - made of photons
Andres - camera distorts reality,Elliot - Kinect
Binx - actually interesting,Aaron - data experience
Binx - actually interesting,Aaron - data storytelling
Binx - actually interesting,Bruce - Textual technologies
Binx - actually interesting,Fernanda - social network hairballs
Binx - actually interesting,Fernanda - Social dynamics
Binx - actually interesting,Fernanda - nytimes graphics
Binx - actually interesting,Fernanda - Policy and data
Binx - actually interesting,Fernanda - non numerical visualization
Binx - actually interesting,Fernanda - what do we mean by data
Binx - actually interesting,Fernanda - what is data
Binx - actually interesting,Fernanda - Data questions
Binx - actually interesting,Golan - listening post
Binx - actually interesting,Javier - Julian Oliver
Binx - actually interesting,Jen - Lidar 1
Binx - actually interesting,Jen - data autobiography
Binx - actually interesting,Jen - data memory 2
Binx - actually interesting,Jen - immersion in data
Binx - actually interesting,Jer - Pattern
Binx - actually interesting,Jer - Thought it was boring
Binx - actually interesting,Jer - storage
Binx - actually interesting,Karsten - database
Binx - actually interesting,Martin - Revelation
Binx - actually interesting,Martin - Inflation not that interesting
Binx - actually interesting,Martin - Statistics
Binx - actually interesting,Patricio - Information 3
Binx - actually interesting,Patricio - Library of Babel
Binx - tool for others,Golan - instruments
Binx - tool for others,Greg - engage with research
Binx - tool for others,Higa - simplicity of self made tools
Binx - tool for others,Jen - life chapters
Binx - tool for others,Jer - everyday experience
Binx - tool for others,Jer - active not interactive
Binx - tool for others,Julia - what is it doing to us
Binx - tool for others,Patricio - Making tools
Binx - tool for others,Philip - its a tool
Binx - tool for others,Elliot - ToolmakerArtist2
Binx - tool for others,Intro - Toolmaker
Binx - trips,Aaron - digital trace
Binx - trips,Fernanda - Personal data
Binx - trips,Fernanda - email storytelling
Binx - trips,Jen - personal archive 1
Binx - trips,Jen - keeping pictures
Binx - trips,Jen - Personal archive 2
Binx - trips,Jen - data autobiography
Binx - trips,Jen - life chapters
Binx - trips,Jer - Research at Open Paths
Binx - trips,Jer - Thought it was boring
Binx - trips,Jer - deciding not to record
Binx - trips,Jer - storage
Binx - trips,Kyle_CH - Future life storage
Binx - frustrated about visualization,Andres - an overly complex model
Binx - frustrated about visualization,Fernanda - seeing patterns 2
Binx - frustrated about visualization,Fernanda - visualized data doesn't seem complex
Binx - frustrated about visualization,Fernanda - defense of complexity 1
Binx - frustrated about visualization,Fernanda - defense of complexity 2
Binx - frustrated about visualization,Fernanda - social network hairballs
Binx - frustrated about visualization,Jer - people don't read these things
Binx - frustrated about visualization,Jer - data visualization
Binx - frustrated about visualization,Jer - take advantage of this thing we can do
Binx - frustrated about visualization,Jer - reading the complexity
Binx - frustrated about visualization,Jer - failure to communicate
Binx - frustrated about visualization,Karsten - database
Binx - frustrated about visualization,Maeda - people are best communicators
Binx - frustrated about visualization,Martin - Seeing the whole 1
Binx - frustrated about visualization,Martin - seeing the whole 2
Binx - digestibility,Fernanda - defense of complexity 1
Binx - digestibility,Fernanda - defense of complexity 2
Binx - digestibility,Jen - all about complexity
Binx - digestibility,Jer - data visualization
Binx - digestibility,Kyle_CH - abstraction
Binx - digestibility,Nervous_Jesse - understanding to control 3
Binx - tools for storytelling,Jer - active not interactive
Binx - tools for storytelling,Julia - what is it doing to us
Binx - tools for storytelling,Kevin - storytelling human to human
Binx - Mesh-U business,Nervous_Jessica - Design process
Binx - maps,Golan - open data
Binx - maps,Jen - a gravity to the work
Binx - maps,Jer - open paths 2
Binx - maps,Jer - open paths 3
Binx - maps,Jer - Research at Open Paths
Binx - maps,Jer - Thought it was boring
Binx - maps,Jer - opportunistic sensors for apple
Binx - maps,Martin - Inflation not that interesting
Binx - meaningful shape1,Aaron - digital trace
Binx - meaningful shape1,Fernanda - Personal data
Binx - meaningful shape1,Fernanda - email storytelling
Binx - meaningful shape1,Fernanda - non numerical visualization
Binx - meaningful shape1,Jen - personal archive 1
Binx - meaningful shape1,Jen - keeping pictures
Binx - meaningful shape1,Jen - Personal archive 2
Binx - meaningful shape1,Jen - data autobiography
Binx - meaningful shape1,Jen - a gravity to the work
Binx - meaningful shape1,Jen - data memory 1
Binx - meaningful shape1,Jen - data memory 2
Binx - meaningful shape1,Jen - data truth
Binx - meaningful shape1,Jen - life chapters
Binx - meaningful shape1,Jer - lives being documented through data
Binx - meaningful shape1,Jer - open paths 2
Binx - meaningful shape1,Jer - open paths 3
Binx - meaningful shape1,Jer - Research at Open Paths
Binx - meaningful shape1,Jer - Thought it was boring
Binx - meaningful shape1,Jer - open paths 1
Binx - meaningful shape1,Jer - deciding not to record
Binx - meaningful shape1,Jer - storage
Binx - meaningful shape1,Jer - opportunistic sensors for apple
Binx - meaningful shape1,Martin - Inflation not that interesting
Binx - meaningful shape1,Patricio - Information 3
Binx - meaningful shape1,Patricio - Library of Babel
Binx - making a map,Fernanda - defense of complexity 2
Binx - making a map,Fernanda - non numerical visualization
Binx - making a map,Jen - data autobiography
Binx - making a map,Jen - a gravity to the work
Binx - making a map,Jer - lives being documented through data
Binx - making a map,Jer - open paths 2
Binx - making a map,Jer - open paths 3
Binx - making a map,Jer - Research at Open Paths
Binx - making a map,Jer - Thought it was boring
Binx - making a map,Jer - open paths 1
Binx - making a map,Jer - deciding not to record
Binx - making a map,Jer - storage
Binx - making a map,Jer - opportunistic sensors for apple
Binx - making a map,Karsten - database
Binx - making a map,Kyle_CH - Future life storage
Binx - making a map,Martin - Inflation not that interesting
Binx - face data,JTNimoy - performance1
Binx - face data,Karsten - infinite conversation
Binx - face data,Maeda - Clouds
Binx - hackathon,Golan - hackathon
Binx - hackathon,Golan - hackathons2
Binx - hackathon,Jer - makerthons
