data visualization|-0.2632607222,-0.0688614920,-0.0612338185
death|-0.0446896143,0.0353975669,-0.2485554963
demo scene|-0.0674043745,-0.0879452229,-0.1495869607
design|0.0144579718,-0.0113539249,0.1935137659
design process|0.0206960682,-0.0312075857,0.2707265913
details|-0.1508712918,-0.0775264427,0.1062912866
devices|-0.0507613383,-0.0821904987,-0.1929292530
digital divide|0.0453653857,0.0210778918,0.0557514466
discovery|0.0207037814,-0.1515965611,0.1808236241
distraction|0.0219128262,0.0902016759,-0.0794786438
drawing|0.0490986221,0.0097832223,0.3207220137
dreams|-0.1420068443,0.0269921590,0.0452536717
dysfunction|0.0931647345,-0.3303165734,0.0346329622
dystopia|0.0078317272,-0.2269943804,-0.1997811347
economics|0.3539055586,0.0405124575,-0.0196162090
education|0.3963806033,0.0297413487,0.0744961053
elegance|-0.0566782653,-0.2032999545,0.1692171246
embodiment|-0.0118263615,0.0604360215,0.0532352589
emergence|-0.1261733472,-0.2781389952,0.2955936491
emotion|-0.1300223321,0.0756954551,0.0127716986
empathy|-0.0775256008,0.0823099166,-0.0475841388
engineering|0.0966352746,-0.1078538671,0.1054518893
error|-0.0079008043,-0.3726394176,0.0580668002
evolution|-0.0902485177,-0.2222160548,0.1425528228
experience|-0.0590549149,0.0383472405,0.1321703196
experience design|-0.1047582701,0.0326388776,0.0559118427
exploration|-0.0144794201,-0.0397768170,0.2272511870
expression|0.0644104034,-0.0166664571,0.2202242613
eyebeam|0.0526361465,-0.1846431941,-0.0469429754
facebook|-0.1014962122,0.0704363212,-0.2648423016
facetracking|-0.1834104061,-0.3629674911,-0.1528560519
failure|0.0927861109,-0.0239292942,0.1273236722
fantasy|-0.1862970740,0.0403317958,0.1225124002
fantasy technology|-0.1609451622,-0.0208985396,-0.0504994318
feedback|0.0238019153,-0.0829670727,0.2897230983
focus|-0.0318458714,0.0255918615,0.0058283033
form|-0.1382614076,-0.0197758637,0.2899590135
friction|0.2054952979,-0.1659300029,0.1759245992
fun|-0.0151818842,-0.0951047763,0.0528232604
future|0.0073422529,-0.1504555196,-0.1348209828
future of cinema|-0.2930505276,-0.0496108904,0.0226752963
futurism|-0.0301949307,-0.1909970790,-0.1942341477
games|-0.1513946503,-0.1974619329,0.2250788361
gardening|-0.0086704437,-0.1855301410,0.2963712513
gender|0.1264726073,0.0462328717,-0.3277333081
generations|0.3995093405,0.1874684393,0.0911925286
generative art|-0.0335676707,-0.1284222752,0.2222293615
genetics|-0.1481721997,-0.3169283271,0.1754788458
gestalt|-0.3223279417,-0.2154642791,0.1720033288
gesture|0.0011904687,0.0047514238,0.3170016408
gifts|0.1923485100,0.0086605847,0.0019122977
github|0.4433594346,-0.0107506411,-0.0440499820
globalization|0.0499178283,-0.0710928366,-0.0816884041
google|0.1154228449,-0.0970041752,-0.1282921284
gps|-0.1982085556,-0.0773119181,-0.3237414956
growth|0.1450518221,-0.1208694428,0.1673065126
gurus|0.4773097038,0.1281212270,0.0803936124
hackathon|0.3377996683,0.0650161803,0.0569505468
hackers|0.1961234957,-0.1137252226,-0.1302635372
hacking|0.0799874291,-0.0837479457,-0.1273524016
history|0.1507596225,0.0426537432,-0.0812988207
humanism|0.0792523026,-0.0133103253,0.0096886009
humanity|-0.0034605835,0.0199113935,-0.1160255522
hybridity|0.2723513544,0.0407988839,0.1384223700
ideas|0.2170024216,0.0167196430,-0.0418683402
identity|-0.0391715579,0.0823969394,-0.1928335875
images|-0.0555081405,0.0737309307,0.1650729179
imagination|-0.0579826050,-0.0739925355,0.2377489507
immersion|-0.2134716511,-0.0222489759,0.0020233821
improvization|0.0115324911,-0.1216338575,0.3192958236
infinity|-0.1333686262,-0.2408882976,0.2204505652
information|-0.1061857268,-0.0517756566,-0.1110451594
information overload|-0.0393026546,0.0363630876,-0.1229064465
interactivity|-0.0995520502,0.0095628314,0.1424189061
interconnectedness|0.0302571394,-0.0648626164,-0.0302961972
interfaces|-0.1022200212,-0.1165541485,-0.0279929824
internet|0.0792782009,-0.0346578658,-0.1637953967
internet of things|0.0053889374,-0.1536180079,-0.0293316431
intuition|-0.0932866335,-0.1454589665,0.3398222029
invention|0.1510226876,-0.1125902906,0.0824835971
iteration|-0.0575859100,-0.0943107903,0.3070463240
journeys|-0.0722855106,0.0548773296,0.1542604268
kids|-0.1157038957,-0.1503994167,0.0874906033
kinect|-0.2424904704,-0.2337987423,-0.1378348470
knowledge|0.0893301815,-0.0625002831,0.0963003710
language|0.0867704973,-0.1022185683,0.0741603971
learning|0.2363632917,-0.0400975868,0.1507329494
legibility|-0.2203113288,-0.1347641796,-0.0051587671
legos|-0.0012133931,-0.0856739730,0.0949800387
limitations|-0.1426754296,-0.2322074920,0.0697193295
liveness|-0.1012932584,0.0779487640,0.2990929782
logic|-0.0520351529,-0.2704367936,0.1741100401
love|-0.1470034570,0.1174047440,-0.1339943111
machine vision|-0.2225931585,-0.3442448080,-0.1494106799
machines|-0.0017542768,-0.2730423510,-0.0461378023
magic|-0.1012822539,-0.0988028869,0.2259814888
maps|-0.1747775972,-0.0521439798,-0.3094255030
mastery|0.0042054607,-0.0022788602,0.3190132380
math|-0.0704848915,-0.2394960970,0.2095191777
media|0.0921905190,0.0420386009,0.1967828125
media art|-0.1277868897,-0.0305044912,0.1821518093
media lab|0.5357380509,0.0186165832,0.1839026362
memes|0.2987493575,0.1327307671,-0.1633444875
memory|-0.1321032643,0.0613532774,-0.2688102722
military technology|-0.1017775908,-0.2411888093,-0.2624889910
mind|-0.1584966332,-0.0287100300,0.0416577309
mobile technology|-0.0389373712,0.3821639121,-0.5401391387
money|0.4479264021,0.1456359178,0.0947575495
museums|0.0252925847,0.1219787970,-0.0654613301
music|-0.0831601843,0.1009703353,0.2660382092
narrative|-0.2710398436,-0.0218078531,-0.0010427900
nature|-0.2482648641,-0.2565565407,0.2634392679
nerds|0.3892266154,0.0905322582,0.0976725370
net art|0.0116651896,0.1364989430,-0.0461536795
network security|0.0972939506,-0.1557678282,-0.2482985109
networks|0.0587228425,-0.0760130882,-0.1811486036
new aesthetic|-0.0502258688,-0.3088580668,-0.0137209455
new media|0.1672144383,0.0623385422,0.0497389212
newness|0.2545588613,0.0612881184,-0.0523714162
objects|0.0296203718,-0.0404284634,0.2754192948
obsolescence|0.0597426966,0.0819841102,-0.1979050040
old media|0.1484061778,0.1024027690,-0.0970305800
opacity|0.1197455451,-0.2301906496,0.0149859954
open source|0.4252984226,0.0021064898,-0.0443804376
openframeworks|0.4488083422,-0.0270463005,0.0313230678
optimism|0.0365987532,-0.1374678612,-0.1470070630
originality|0.3483769298,0.1238681152,-0.0543325990
painting|0.0581307001,0.0061712847,0.2786217332
particles|-0.1621626019,-0.1797339767,0.0233037919
patterns|-0.2952315211,-0.1505535245,0.1066604406
people|-0.0128359366,0.0940774605,-0.1388867050
perception|-0.1958343387,-0.0375557020,0.1154837385
performance|0.0053834128,0.1187951639,-0.0999906883
personal data|-0.1392048299,0.0061542741,-0.2960111499
perspective|-0.3776384890,-0.2632890344,0.1494634151
phenomena|-0.3511305451,-0.2206213027,0.1851674318
philosophy|-0.0892975554,-0.2040704042,0.0233265962
physicality|-0.0026089475,0.0492298938,0.1775514483
physics|-0.2083767653,-0.2104544193,0.2597840428
play|-0.0650757402,-0.0031117676,0.2617460191
poetry|0.0070712119,-0.0417421497,0.1170563027
possibility|-0.0979582295,-0.2082816958,0.3447895050
post-digital|0.0288217273,0.0306515004,0.0965920687
power|-0.0202134382,-0.2217856199,-0.1551274508
privacy|-0.1322560012,-0.0350658372,-0.3153537810
probability|-0.0688099489,-0.2979367077,0.3397677243
problem solving|0.0526422709,-0.1161385700,-0.0918413773
processes|-0.0020335938,-0.1483819038,0.3646368384
processing|0.4151374698,0.0004459354,0.1449106634
programming|0.1488040537,-0.1654407233,0.0963589549
progress|0.0718852356,-0.1071057394,-0.0680972710
quantified self|-0.1302948743,0.0633657426,-0.2839112282
randomness|-0.0149901183,-0.2587227225,0.3841420114
reality|-0.1564586908,-0.1044611409,0.0856741592
realness|-0.1045181379,-0.0884622708,0.0882801488
relationships|-0.1087829396,0.0105893165,-0.2854456902
replication|0.0266212858,-0.0306775905,0.3312858343
representation|-0.2429245710,-0.1140427515,0.1734369993
research|-0.0361454301,-0.0244059023,0.0076915720
revelation|-0.2098583132,-0.1500164270,-0.0119096944
robots|-0.0312815234,-0.2904374003,-0.0303501021
rules|-0.1215290353,-0.3065960705,0.2652584314
scale|-0.2694241405,-0.2156139612,0.1492823511
science|-0.1469828039,-0.0973717049,0.1181922853
science fiction|-0.0561488010,-0.1477511227,-0.0892391875
seamlessness|-0.0169347133,-0.1955319345,-0.2063613683
security|-0.0823319405,-0.1917371005,-0.2534686029
self-expression|0.0892648846,-0.0298772603,0.2227374613
sensors|-0.2866448164,-0.2798862755,-0.1882198900
serendipity|-0.0124850580,-0.1600209475,0.2586897016
sex|-0.1976927221,0.0706982166,-0.0720599815
sharing|0.4436263442,0.0357240960,-0.0512350611
simplicity|-0.1820018739,-0.1372534782,0.0027921547
simulation|-0.2078747749,-0.2021832466,0.2789860666
singularity|-0.0635998622,-0.2298344374,-0.1597228795
sketching|0.1128306016,-0.0719071627,0.3413300514
social|-0.0055374913,0.1085983738,-0.1257331669
social dynamics|0.0901124328,0.1865666062,-0.1660802960
social engagement|0.0218703188,-0.0057949768,-0.1090759709
social media|-0.0382639691,0.1110013947,-0.2189421505
society|0.0093761915,-0.0876773372,-0.1086474955
software|0.3244391680,-0.1310714632,0.0699969679
sound|-0.1040185168,0.2075740844,0.3172452450
statistics|-0.0270418413,-0.0212558713,-0.1313334703
stock market|-0.0714510679,-0.3593367636,-0.0297142472
storytelling|-0.2361917347,-0.0087049073,0.0343097299
style|0.1882544756,-0.0047658882,0.0854772627
subculture|0.4214778543,0.1131704152,0.0374487787
surveillance|-0.1016602963,-0.1535755247,-0.2292638719
symbiosis|0.0767357722,-0.2789930105,-0.0447437204
synergy|0.1293307990,0.0029819191,0.2098014653
synesthesia|-0.0986209810,0.1122528538,0.3693796694
synthetic biology|-0.1522235721,-0.2747954726,0.1822768599
systems|-0.1107027009,-0.1908845752,0.2487131208
technology|0.0551866926,-0.1165750995,0.0363238528
the clouds|0.0105956718,-0.1255940944,-0.1649483144
theory|0.0902985707,-0.1113736629,-0.0980720222
thinking|0.0214823745,-0.1743119806,0.0972340405
thought process|0.0259569716,-0.1325423270,0.4119937718
time|-0.1094741747,-0.0031126591,0.1587560624
toolmakers|0.0762601718,-0.0932534561,-0.0995967463
tools|0.2751426399,-0.0560234077,-0.0088970279
transparency|0.1039682552,-0.1831547618,-0.1918298006
trends|-0.0470114090,-0.3103376925,-0.0255230125
truth|-0.2303865254,-0.0748797357,-0.0364830159
twitter|-0.0148040568,0.1188420132,-0.2637729347
ubiquitous computing|-0.2916416228,-0.3084706068,-0.1861616075
ubiquity|-0.1334628016,-0.2139742374,-0.2099531442
uncanny|-0.0990814567,-0.2021097541,0.0158413649
universe|-0.2449176461,-0.2257391959,0.3006742895
usefulness|-0.0748859867,0.0545121022,0.1811721027
uselessness|-0.0368048176,0.0654577538,0.1647604257
users|0.0523313321,-0.1406911910,-0.0855644718
utopia|-0.0388778634,-0.1076605916,-0.0041409591
value|0.0573537797,0.0776510760,0.0290464032
videogames|-0.0595632270,-0.0137339663,0.1197046116
virality|0.0375575833,-0.0080919974,-0.1979817301
virtual reality|-0.3257644773,0.0592315756,0.0332404897
viruses|0.0465544015,0.0014661644,-0.1939550340
vision|-0.3092188537,-0.1250394583,0.1395715028
visual culture|0.2074027508,0.0669768229,0.0400190093
visualization|-0.1715669930,-0.1496049166,0.0401766375
wearables|-0.0320791118,-0.1561985016,-0.1923984289
weirdness|0.0270559080,0.0091539957,0.0175301246
wikipedia|0.2678458393,-0.0718427822,-0.1764388531
world building|-0.2152131200,-0.1461516470,0.2611312270
zen|-0.1037450731,0.0162962545,0.1602608562
zoom|-0.3879737556,-0.2809631228,0.2181965113
